;DSI
0;0.7706839442253113
1;0.7672120928764343
2;0.07914698123931885
3;0.7791596055030823
4;0.7722532749176025
5;0.7126411199569702
6;0.7273032069206238
7;0.7303016185760498
8;0.7569891810417175
9;0.7749471664428711
10;0.7556152939796448
11;0.701535165309906
12;0.6798202395439148
13;0.5635507702827454
14;0.7273032069206238
15;0.669379711151123
16;0.6888002753257751
17;0.6403688788414001
18;0.7689586281776428
19;0.7435029149055481
20;0.7373988032341003
21;0.77413010597229
22;0.7603382468223572
23;0.737861156463623
24;0.5588904023170471
25;0.7508846521377563
26;0.7109546065330505
27;0.7760599851608276
28;0.5660440325737
29;0.7391179800033569
30;0.7248117923736572
31;0.7111827731132507
32;0.7505740523338318
33;0.8189499378204346
34;0.7715196013450623
35;0.6717456579208374
36;0.5542440414428711
37;0.66618412733078
38;0.7242943644523621
39;0.7994650602340698
40;0.6696041822433472
41;0.7392536401748657
42;0.8124260902404785
43;0.7503710985183716
44;0.7527142763137817
45;0.7852861881256104
46;0.4909267723560333
47;0.6943276524543762
48;0.704232394695282
49;0.762113094329834
50;0.7397013306617737
51;0.5965285897254944
52;0.6437438726425171
53;0.7216550707817078
54;0.7245157957077026
55;0.782572329044342
56;0.6506353616714478
57;0.6785191297531128
58;0.6572132110595703
59;0.7107934951782227
60;0.7815350294113159
61;0.6604583263397217
62;0.7613037824630737
63;0.7319257855415344
64;0.7206555008888245
65;0.7213541865348816
66;0.6897863745689392
67;0.6898437142372131
68;0.0799793004989624
69;0.7222016453742981
70;0.6538797616958618
71;0.7196403741836548
72;0.7686642408370972
73;0.7669236660003662
74;0.6637442111968994
75;0.5136176943778992
76;0.7472085356712341
77;0.7130835652351379
78;0.8000577092170715
79;0.7350627779960632
80;0.5972259044647217
81;0.07108619809150696
82;0.7323257923126221
83;0.5853002071380615
84;0.7461466193199158
85;0.688230574131012
86;0.06997370719909668
87;0.7249287366867065
88;0.7782649397850037
89;0.7882924675941467
90;0.7475762963294983
91;0.7486223578453064
92;0.7836248278617859
93;0.793302059173584
94;0.7928038835525513
95;0.7686710357666016
96;0.7906623482704163
97;0.5474639534950256
98;0.7024992108345032
99;0.6862565279006958
100;0.5148587822914124
101;0.7498756647109985
102;0.7408392429351807
103;0.7455101609230042
104;0.6829724907875061
105;0.7248175740242004
106;0.4656258523464203
107;0.762050211429596
108;0.7005802989006042
109;0.7529700398445129
110;0.764783501625061
