;DSI
0;0.8146726489067078
1;0.8027422428131104
2;0.727559506893158
3;0.7776858806610107
4;0.7611076831817627
5;0.7979428172111511
6;0.7758927345275879
7;0.7960046529769897
8;0.756665825843811
9;0.7930719256401062
10;0.7798218131065369
11;0.7826032042503357
12;0.782365620136261
13;0.7906582355499268
14;0.8126803040504456
15;0.812583327293396
16;0.7765753865242004
17;0.7765753865242004
18;0.812583327293396
19;0.7765753865242004
20;0.755365252494812
21;0.7720385789871216
22;0.7769243121147156
23;0.7536327242851257
24;0.7715633511543274
25;0.7706584930419922
26;0.7885321378707886
27;0.7719191908836365
28;0.7801716923713684
29;0.8036337494850159
30;0.7872341871261597
31;0.791638195514679
32;0.791638195514679
33;0.791638195514679
34;0.8042819499969482
35;0.8042819499969482
36;0.8064079284667969
37;0.8052321076393127
38;0.8063222765922546
39;0.8063222765922546
40;0.774128794670105
41;0.7815579771995544
42;0.8079560995101929
43;0.7681400179862976
44;0.7682458758354187
45;0.7563967704772949
46;0.7794780135154724
47;0.7709878087043762
48;0.786214292049408
49;0.809111475944519
50;0.809111475944519
51;0.806178867816925
52;0.786214292049408
53;0.8015500903129578
54;0.7955297827720642
55;0.7955297827720642
56;0.8190741539001465
57;0.8015500903129578
58;0.8003180623054504
59;0.776059091091156
60;0.776059091091156
61;0.7876370549201965
62;0.8003180623054504
63;0.7822276949882507
64;0.7822276949882507
65;0.8100603818893433
66;0.7822276949882507
67;0.7932100892066956
68;0.7932100892066956
69;0.7963042259216309
70;0.7945124506950378
71;0.7945124506950378
72;0.8011271357536316
73;0.7676275968551636
74;0.8281710147857666
75;0.8281710147857666
76;0.8011271357536316
77;0.7194486856460571
78;0.7785503268241882
79;0.7803546190261841
80;0.7194486856460571
81;0.7803546190261841
82;0.8027721047401428
83;0.7724941372871399
84;0.8001728057861328
85;0.7943062782287598
86;0.7724941372871399
87;0.7879767417907715
88;0.7817543745040894
89;0.8029176592826843
90;0.7867791652679443
91;0.7904562950134277
92;0.8138063549995422
93;0.7738325595855713
94;0.8138063549995422
95;0.8138063549995422
96;0.771213173866272
97;0.7696135640144348
98;0.7945482730865479
99;0.7958252429962158
100;0.7958252429962158
101;0.7958252429962158
102;0.8084427714347839
103;0.7951087355613708
104;0.7864693999290466
105;0.7864693999290466
106;0.8071452975273132
107;0.8071452975273132
108;0.8148654699325562
109;0.8148654699325562
110;0.7879419326782227
111;0.8133497834205627
112;0.8016358613967896
113;0.8277195692062378
114;0.7894647717475891
115;0.8016358613967896
116;0.8046342134475708
117;0.7779203057289124
118;0.7779203057289124
119;0.8046342134475708
120;0.7656574249267578
121;0.8048456907272339
122;0.834122896194458
123;0.8193430304527283
124;0.7830453515052795
125;0.8209172487258911
126;0.7989895939826965
127;0.7948669791221619
128;0.7948669791221619
129;0.7948669791221619
130;0.7948669791221619
131;0.7902094125747681
132;0.7902094125747681
133;0.7930176258087158
134;0.8167178630828857
135;0.8167178630828857
136;0.7858957052230835
137;0.7446088194847107
138;0.7560948133468628
139;0.7522439360618591
140;0.7748486399650574
141;0.8059306740760803
142;0.8059306740760803
143;0.8212058544158936
144;0.8115430474281311
145;0.7748664617538452
146;0.80072021484375
147;0.80072021484375
148;0.7767369747161865
149;0.7781742811203003
150;0.7982317209243774
151;0.7942622900009155
152;0.7935288548469543
153;0.7802147269248962
154;0.7378560900688171
155;0.7995194792747498
156;0.7148369550704956
157;0.7995194792747498
158;0.772107720375061
159;0.772107720375061
160;0.772107720375061
161;0.8008726835250854
