;MAD
0;0.7727296666620184
2;0.7398351623084597
3;0.5346090548169194
4;0.8138115999915654
5;0.731596381624874
6;0.8142621011476969
7;0.8336283130755412
8;0.8520533146685395
9;0.8925573503025456
10;0.8533542543726114
11;0.7189996941172714
12;0.7530556734776502
13;0.7877416185694436
14;0.7209033728839968
16;0.8676123524324864
17;0.8717942488340633
19;0.8403897415688442
20;0.8658338242889976
21;0.8306835903589237
22;0.8661638797315645
23;0.8607755243818044
24;0.809455099142216
25;0.806963612800893
26;0.8673693393237218
27;0.8399643016899967
28;0.8128842218512413
29;0.8130826358697573
30;0.800483661269404
31;0.7913570591376836
32;0.8090364617996281
33;0.7743846839637183
34;0.8009418228847686
35;0.6611493599304109
36;0.7112181400247931
37;0.8036840800198414
40;0.8044791889358079
41;0.8291792806026373
42;0.8472907162486044
43;0.8145191014239522
44;0.8293508185150233
45;0.8386418047802903
46;0.8043462595704661
47;0.8252622881139743
49;0.6620003515129479
50;0.6362144850124418
51;0.8213427714802362
54;0.8688110766745623
55;0.895178249558182
56;0.8626669063979165
57;0.7410036106200594
63;0.6729933723629381
64;0.8206842937376917
65;0.7984688049517645
66;0.5334409558274836
67;0.7648849521241742
68;0.8807256016412753
69;0.789476599876571
70;0.867867812100187
71;0.8533677394880997
73;0.805519607991265
77;0.7546846913814756
78;0.861836637565782
79;0.6743847268266718
80;0.8276773815773903
81;0.6622000233908211
83;0.7607927177749807
84;0.85084782925435
85;0.7376763871883292
86;0.8091410443935424
87;0.7790711680592123
88;0.8429342995197665
89;0.6869610211576715
90;0.8895359694161065
91;0.8181594459777248
92;0.8099349580187616
93;0.8209330816975301
94;0.8349730763904227
95;0.8950899294656355
96;0.9007489395294525
97;0.8164544633608608
98;0.5996170649977263
99;0.7459107434720661
100;0.6579465142146399
101;0.6665107476324542
102;0.8482538270779542
103;0.7456981490847947
106;0.7583488047920319
107;0.7978487724866149
108;0.7743361580014883
109;0.7427144504463482
110;0.8552797272077053
111;0.8593944468558441
117;0.8090726041220173
118;0.6419576888756212
121;0.7862629228598165
124;0.8120872006251257
127;0.8616040267073398
128;0.7550680882371559
129;0.8785144874466285
130;0.7777408802412547
133;0.7264408540231078
134;0.7760419868161701
135;0.8239364112138474
136;0.8450105887692237
137;0.8650982496866098
138;0.747752551943106
139;0.760401112339402
140;0.7652655215445071
141;0.8335199570199123
142;0.7401918607312223
144;0.7422449811039016
145;0.8040883557223913
146;0.7314465515649495
147;0.788518067586705
148;0.8336462048055686
149;0.8051827413351016
151;0.83985621397649
152;0.8905295266444119
153;0.7576326026343658
154;0.8389475314147095
